,Unnamed: 0,NSW[162][a],VIC[164],QLD[165],SA[166],WA[167],TAS[168],ACT[169],NT[170][b],Total[c],Newcases,%growth,DeathsNationally[173]
46,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓,↓ Values after 5 April based on Australian Government Infographic.[f] ↓
47,5 April[189],2580,1135,907,409,453,81[g],96,26,5687,135,2.4%,34
48,6 April[190],2637,1158,921,411,460,85,96,27,5795,108,1.8%,39
49,7 April[191],2686,1191,934,415,470,88,97,27,5908,113,1.9%,45
50,8 April[192],2734,1212,943,420,481,97,99,27,6013,105,1.6%,50
51,9 April[193],2773,1228,953,421,495,106,100,27,6103,90,1.5%,51
52,10 April[194],2822,1241,965,428,506,111,103,27,6203,100,1.6%,53
53,11 April[195],2857,1265,974,429,514,123,103,27,6292,89,1.4%,56
54,12 April[196],"2,854[h]",1268,983,429,517,133,102[i],27,6313,21,0.33%,59
55,13 April[199],2863,1281,987,431,523,144,103,27,6359,46,0.73%,61
56,14 April[200],2870,1291,998,433,527,151,103,27,6400,41,0.64%,61
57,15 April[201],2886,1299,999[j],433,532,168,103,27,6447,47,0.73%,63
58,16 April[202],2897,1301,"1,001[k]",434,535,170,103,27,6468,21,0.33%,63
59,17 April[203],2926,1302,1007,435,541,182,103,27,6523,55,0.85%,65
60,18 April[204],2936,1319,1014,435,544,187,103,27,6565,42,0.64%,68
61,19 April[205],2957,1328,1019,435,545,192,103,27,6606,41,0.62%,70
62,20 April[206],2963,1329,1019,435,545,197,104,27,6619,13,0.20%,71
63,21 April[207],2969,1336,1024,437,546,202,104,27,6645,26,0.39%,71
64,22 April[208],"2,971[l]","1,336[m]",1024,438,546,203,104,27,6649,4,0.06%,74
65,23 April[209],2976,1337,1026,438,546,207,104,27,6661,12,0.18%,75
66,24 April[210],"2,982[n]",1343,"1,026[o]",438,548,207,104,27,6675,14,0.21%,78
67,25 April,2994,1346,"1,026[p]",,,,,,6690,15,,80
68,,NSW,VIC,QLD,SA,WA,TAS,ACT,NT,Total,Newcases,%growth,DeathsNationally
69,Deaths by State/Territory,33,16,6[q],4,8,10,3,0,80,,,
