,Date,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,"Germany, repatriated[c]",Total infections,New cases,Total deaths,New deaths
39,2 Apr,14662 (241),18496 (268),2970 (19),995 (7),327 (6),2406 (14),3707 (27),4695 (45),438 (3),15427 (161),3132 (26),1020 (11),2183 (18),804 (8),1335 (11),925 (7),—,73522,6156,872,140
40,3 Apr,16059 (285),20237 (307),3202 (20),1075 (9),341 (6),2596 (16),3993 (33),5081 (65),468 (4),16606 (178),3362 (26),1079 (12),2336 (21),836 (11),1443 (15),982 (9),—,79696,6174,1017,145
41,4 Apr,17014 (316),21908 (349),3471 (22),1211 (12),354 (6),2697 (16),4279 (42),5571 (85),501 (5),17885 (200),3504 (29),1265 (14),2591 (24),896 (11),1559 (17),1072 (10),—,85778,6082,1158,141
42,5 Apr,18614 (367),23846 (396),3613 (24),1305 (17),394 (6),2945 (19),4575 (56),5712 (89),523 (5),18735 (245),3663 (32),1358 (14),2741 (32),919 (12),1631 (18),1140 (10),—,91714,5936,1342,184
43,6 Apr,19395 (387),24974 (437),3670 (26),1345 (19),397 (8),2993 (19),4674 (61),5960 (92),528 (6),19384 (255),3882 (32),1483 (14),2903 (34),956 (12),1671 (20),1176 (12),—,95391,3677,1434,92
44,7 Apr,20141 (433),26163 (481),3845 (28),1384 (20),399 (9),3059 (20),4837 (73),6200 (111),531 (8),20220 (282),3992 (34),1532 (16),2997 (38),987 (12),1730 (24),1208 (18),—,99225,3834,1607,173
45,8 Apr,20680 (464),27564 (564),4028 (32),1472 (22),424 (10),3165 (23),4965 (84),6385 (121),555 (11),20929 (348),4148 (45),1637 (23),3144 (50),1020 (16),1827 (28),1285 (20),—,103228,4003,1861,254
46,9 Apr,21603 (519),28827 (635),4202 (37),1578 (30),445 (11),3320 (44),5242 (100),6804 (141),572 (11),21961 (384),4336 (50),1693 (23),3261 (52),1075 (16),1932 (34),1351 (20),—,108202,4974,2107,246
47,10 Apr,22433 (570),30363 (703),4349 (42),1691 (37),454 (13),3551 (53),5694 (111),7114 (161),586 (11),23028 (446),4440 (51),1854 (36),3402 (59),1121 (18),2029 (38),1416 (24),—,113525,5323,2373,266
48,11 Apr,23617 (622),31453 (747),4458 (46),1764 (37),469 (15),3663 (56),5808 (120),7343 (171),601 (11),23644 (472),4622 (59),2016 (41),3565 (65),1135 (18),2065 (39),1435 (25),—,117658,4133,2544,171
49,12 Apr,24078 (649),32282 (786),4567 (50),1857 (38),480 (15),3742 (56),5859 (123),7602 (189),605 (11),24267 (495),4734 (64),2058 (43),3600 (67),1166 (21),2118 (41),1464 (25),—,120479,2821,2673,129
50,13 Apr,24570 (677),33015 (820),4601 (51),1880 (38),486 (17),3770 (56),6114 (135),7723 (201),618 (11),24883 (518),4810 (68),2079 (44),3655 (68),1193 (24),2134 (44),1485 (27),—,123016,2537,2799,126
51,14 Apr,25040 (711),33569 (872),4668 (56),1916 (40),492 (20),3808 (59),6183 (147),7885 (211),619 (11),25300 (545),4880 (70),2112 (52),3751 (70),1207 (25),2164 (49),1504 (31),—,125098,2082,2969,170
52,15 Apr,25438 (767),34294 (954),4722 (62),1950 (42),500 (21),3869 (67),6347 (173),8019 (224),624 (11),25835 (607),5004 (77),2145 (58),3819 (73),1223 (26),2245 (54),1550 (38),—,127584,2486,3254,285
53,16 Apr,25881 (802),35142 (1049),4848 (74),2058 (54),507 (21),3953 (80),6470 (187),8188 (248),634 (13),26383 (663),5087 (87),2201 (71),3955 (94),1248 (26),2294 (55),1601 (45),—,130450,2866,3569,315
